Tarea,09/01,10/01,11/01,12/01,13/01,Tarea total
Cambiar logo,0.67,0.00,0.00,0.00,0.00,0.67
Correción de ordenamiento de Tablas,0.00,0.00,0.00,0.00,3.49,3.49
Corregir ruta de imagenes,0.00,2.85,7.18,0.00,0.00,10.04
Cubicación Manzanillo,0.00,0.00,0.00,1.66,0.01,1.67
Error  al Revertir Viajes,1.27,0.00,0.00,0.00,0.00,1.27
Información del SGWI,0.00,0.00,0.00,0.29,0.00,0.29
Instalacion de opc,0.00,0.00,0.00,0.00,3.08,3.08
Instalación y documentación del saoweb,0.74,0.00,0.00,0.00,0.00,0.74
Recibir sistemas de Omar,0.00,0.00,0.00,0.00,3.72,3.72
Registro de tags y camiones queretaro,5.23,7.15,0.00,0.00,0.00,12.38
Reporte Viajes Netos (Turno y aplicacion),0.00,0.00,1.74,8.55,0.00,10.29
Día total,7.91,10.00,8.92,10.50,10.30,47.63
